chunk_id,ticker,year,assigned_topic,topic_keywords,manual_labels,best_matched_label,precision,recall,f1
34,TFC,2023,5,goodwill impairment assets intangible value,Financial Performance & Fraud,Financial Performance & Fraud,0.8194,0.8302,0.8248
61,VRTX,2025,2,product products health fda laws,Financial Performance & Fraud; Supply Chain & Third-Party Risk,Financial Performance & Fraud,0.8165,0.8334,0.8249
10,DLTR,2025,17,products product reputation recall quality,Product/Service Quality,Product/Service Quality,0.8984,0.8882,0.8933
42,WELL,2014,9,properties tenants managers operators redevelopment,Environmental Misconduct,Environmental Misconduct,0.8035,0.825,0.8141
27,DUK,2012,1,gas environmental energy operations costs,Financial Performance & Fraud,Financial Performance & Fraud,0.8245,0.856,0.8399
36,STX,2022,0,information systems data security technology,Cybersecurity & Data Privacy,Cybersecurity & Data Privacy,0.8877,0.8899,0.8888
29,STLD,2016,1,gas environmental energy operations costs,Environmental Misconduct,Environmental Misconduct,0.8355,0.8589,0.8471
50,CMG,2019,15,food restaurants restaurant concepts franchisees,Product/Service Quality,Product/Service Quality,0.8083,0.8255,0.8168
6,D,2022,1,gas environmental energy operations costs,Governance Risk,Governance Risk,0.8266,0.863,0.8444
22,LOW,2024,37,lowe reputation negative image guests,Supply Chain & Third-Party Risk,Supply Chain & Third-Party Risk,0.8186,0.8449,0.8316
92,HAS,2015,6,litigation proceedings legal claims matters,Legal & Litigation,Legal & Litigation,0.8682,0.8917,0.8798
2,T,2018,24,economic credit financial adversely customers,"Credit, Liquidity & Market Risk","Credit, Liquidity & Market Risk",0.8101,0.8062,0.8081
6,BAX,2020,0,information systems data security technology,Cybersecurity & Data Privacy,Cybersecurity & Data Privacy,0.8877,0.8899,0.8888
2,O,2021,26,covid 19 pandemic impact business,"Credit, Liquidity & Market Risk","Credit, Liquidity & Market Risk",0.7412,0.7952,0.7672
3,HD,2018,0,information systems data security technology,Labor/Human Rights; Cybersecurity & Data Privacy,Cybersecurity & Data Privacy,0.8877,0.8899,0.8888
38,SATS,2023,0,information systems data security technology,Cybersecurity & Data Privacy,Cybersecurity & Data Privacy,0.8877,0.8899,0.8888
