topic_id,topic_label,top_keywords,bertscore_f1,coherence,diversity,n_docs
0,Environmental Gas Energy Regulations,environmental gas energy regulations costs operations facilities natural laws emissions,0.8047,0.4505,0.7552,1858
1,Product Products Health Laws,product products health laws federal fda claims drug regulatory subject,0.7786,0.5538,0.7552,1228
2,Information Systems Security Attacks,information systems security attacks data technology cyber cybersecurity business breaches,0.8154,0.8937,0.7552,1138
3,Data Privacy Information Security,data privacy information security personal laws protection regulations business subject,0.8107,0.562,0.7552,547
4,Foreign Currency Countries Operations,foreign currency countries operations international exchange trade business risks political,0.7892,0.8049,0.7552,535
5,Properties Tenants Tenant Bankruptcy,properties tenants tenant bankruptcy lease rent leases managers adversely property,0.7846,1.6201,0.7552,468
6,Products Product Consumer Packaging,products product consumer packaging ingredients including reputation brands consumers laws,0.7982,0.684,0.7552,402
7,Goodwill Impairment Assets Intangible,goodwill impairment assets intangible value carrying fair lived future charges,0.7883,1.488,0.7552,381
8,Food Concepts Restaurants Restaurant,food concepts restaurants restaurant franchisees safety adversely ingredients borne employees,0.7898,1.2876,0.7552,374
9,Debt Indebtedness Credit Capital,debt indebtedness credit capital covenants ability cash obligations financing facility,0.7962,1.1237,0.7552,302
10,Acquired Acquisitions Acquisition Businesses,acquired acquisitions acquisition businesses business transaction benefits company strategic merger,0.7999,1.0026,0.7552,297
11,Laws Bribery Anti Regulations,laws bribery anti regulations compliance act practices foreign policies corruption,0.8165,0.8514,0.7552,279
12,Intellectual Property Rights Protect,intellectual property rights protect patents patent infringement products proprietary claims,0.7987,1.27,0.7552,271
13,Wireless Fcc Services Spectrum,wireless fcc services spectrum content cable broadband service network programming,0.7836,1.7267,0.7552,250
14,Credit Market Risk Securities,credit market risk securities loans financial losses institutions company investment,0.8256,0.5207,0.7552,241
15,Litigation Claims Proceedings Legal,litigation claims proceedings legal lawsuits matters company financial insurance time,0.8401,0.3262,0.7552,229
16,Properties Environmental Contamination Property,properties environmental contamination property substances presence hazardous asbestos real liability,0.8331,1.1188,0.7552,215
17,Chase Jpmorgan Firm Jpmorganchase,chase jpmorgan firm jpmorganchase regulatory clients market risk actions businesses,0.7437,0.8902,0.7552,208
18,Covid Pandemic Operations,covid 19 pandemic operations business impact including financial events results,0.7459,0.228,0.7552,195
19,Key Employees Retain Personnel,key employees retain personnel products hire demand semiconductor increased adversely,0.7973,0.5709,0.7552,175
20,Tobacco Altria Subsidiaries Products,tobacco altria subsidiaries products adult group cigarette juul cigarettes smoking,,2.4208,0.7552,162
21,Systems Technology Business Information,systems technology business information customer financial operations adversely experience results,0.7888,0.2151,0.7552,108
22,Moody Ratings Company Rating,moody ratings company rating cras eu ma mis foreign credit,0.7361,0.996,0.7552,107
23,Centers Customers Power Data,centers customers power data ibx service customer equipment center space,0.7692,1.1189,0.7552,105
24,Information Gas Infrastructure Natural,information gas infrastructure natural systems production security cyber data chemical,0.8014,0.6988,0.7552,101
25,Tax Income Changes Rate,tax income changes rate effective jurisdictions subject taxes earnings deferred,0.7618,0.9928,0.7552,96
26,Joint Venture Partners Interests,joint venture partners interests investments partnership ventures venturers goals properties,0.7859,1.8667,0.7552,94
27,Stock Price Common Market,stock price common market securities fluctuations analysts companies class litigation,,0.2693,0.7552,86
28,Subcontractors Suppliers Components Outsource,subcontractors suppliers components outsource services parties products business party subcontractor,0.801,0.1591,0.7552,78
