topic_id,topic_label,top_keywords,bertscore_f1,n_eval_chunks
0,Environmental Gas Energy Regulations,environmental gas energy regulations costs operations facilities natural laws emissions,0.8047,14
1,Product Products Health Laws,product products health laws federal fda claims drug regulatory subject,0.7786,8
2,Information Systems Security Attacks,information systems security attacks data technology cyber cybersecurity business breaches,0.8154,14
3,Data Privacy Information Security,data privacy information security personal laws protection regulations business subject,0.8107,14
4,Foreign Currency Countries Operations,foreign currency countries operations international exchange trade business risks political,0.7892,10
5,Properties Tenants Tenant Bankruptcy,properties tenants tenant bankruptcy lease rent leases managers adversely property,0.7846,8
6,Products Product Consumer Packaging,products product consumer packaging ingredients including reputation brands consumers laws,0.7982,12
7,Goodwill Impairment Assets Intangible,goodwill impairment assets intangible value carrying fair lived future charges,0.7883,9
8,Food Concepts Restaurants Restaurant,food concepts restaurants restaurant franchisees safety adversely ingredients borne employees,0.7898,6
9,Debt Indebtedness Credit Capital,debt indebtedness credit capital covenants ability cash obligations financing facility,0.7962,6
10,Acquired Acquisitions Acquisition Businesses,acquired acquisitions acquisition businesses business transaction benefits company strategic merger,0.7999,5
11,Laws Bribery Anti Regulations,laws bribery anti regulations compliance act practices foreign policies corruption,0.8165,3
12,Intellectual Property Rights Protect,intellectual property rights protect patents patent infringement products proprietary claims,0.7987,2
13,Wireless Fcc Services Spectrum,wireless fcc services spectrum content cable broadband service network programming,0.7836,5
14,Credit Market Risk Securities,credit market risk securities loans financial losses institutions company investment,0.8256,9
15,Litigation Claims Proceedings Legal,litigation claims proceedings legal lawsuits matters company financial insurance time,0.8401,7
16,Properties Environmental Contamination Property,properties environmental contamination property substances presence hazardous asbestos real liability,0.8331,1
17,Chase Jpmorgan Firm Jpmorganchase,chase jpmorgan firm jpmorganchase regulatory clients market risk actions businesses,0.7437,5
18,Covid Pandemic Operations,covid 19 pandemic operations business impact including financial events results,0.7459,3
19,Key Employees Retain Personnel,key employees retain personnel products hire demand semiconductor increased adversely,0.7973,6
20,Tobacco Altria Subsidiaries Products,tobacco altria subsidiaries products adult group cigarette juul cigarettes smoking,,0
21,Systems Technology Business Information,systems technology business information customer financial operations adversely experience results,0.7888,4
22,Moody Ratings Company Rating,moody ratings company rating cras eu ma mis foreign credit,0.7361,1
23,Centers Customers Power Data,centers customers power data ibx service customer equipment center space,0.7692,6
24,Information Gas Infrastructure Natural,information gas infrastructure natural systems production security cyber data chemical,0.8014,4
25,Tax Income Changes Rate,tax income changes rate effective jurisdictions subject taxes earnings deferred,0.7618,2
26,Joint Venture Partners Interests,joint venture partners interests investments partnership ventures venturers goals properties,0.7859,1
27,Stock Price Common Market,stock price common market securities fluctuations analysts companies class litigation,,0
28,Subcontractors Suppliers Components Outsource,subcontractors suppliers components outsource services parties products business party subcontractor,0.801,1
