Cybersecurity & Data Privacy,Financial Performance & Fraud,Product/Service Quality,Production Failure,Trademark/Brand Erosion,Human Resources,Health & Safety,Governance Risk,Labor/Human Rights,Data/Privacy Breaches,Environmental Misconduct,Supply Chain & Third-Party Risk,Legal & Litigation,"Credit, Liquidity & Market Risk"
data breach,earnings decline,product recall,production shutdown,brand damage,employee misconduct,safety incident,compliance failure,child labor,privacy breach,environmental violation,supply chain risk,litigation risk,credit risk
privacy violation,revenue loss,product defect,capacity failure,brand erosion,talent retention,workplace injury,ethics violation,human rights,data privacy failure,emissions standards,supply chain ethics,lawsuit,default risk
cybersecurity,financial underperformance,quality failure,operational disruption,trademark infringement,workforce reduction,environmental accident,regulatory breach,labor standards,GDPR violation,environmental misconduct,outsourcing risk,legal liability,bankruptcy
cyber attack,declining profitability,product contamination,business disruption,reputational damage,brain drain,safety negligence,governance failure,forced labor,CCPA violation,pollution violation,subcontractor oversight,class action,downgrade risk
cyberattack,revenue shortfall,consumer safety,system outage,reputation loss,loss of key personnel,facility deterioration,board misconduct,modern slavery,personal data misuse,toxic spill,third-party risk,court judgment,liquidity risk
cyber incident,earnings miss,product liability,system failure,negative publicity,management instability,workplace safety,executive misconduct,human trafficking,unauthorized use of customer data,deforestation,vendor risk,legal settlement,funding risk
network intrusion,profit warning,defective product,hardware failure,public backlash,key person risk,occupational hazard,corporate misconduct,worker exploitation,data sharing violation,environmental liability,partner misconduct,arbitration,capital access
ransomware,operating loss,manufacturing defect,software failure,boycott,founder dependence,toxic spill,code of conduct violation,labor rights violation,third-party data misuse,hazardous waste,contractor failure,legal penalty,debt refinancing failure
malware,net loss,substandard product,network outage,activist pressure,executive departure,hazardous material,conflict of interest,fair labor,sensitive information exposure,clean water violation,franchise risk,legal dispute,cash flow shortfall
unauthorized access,financial deterioration,quality control failure,application crash,community opposition,CEO resignation,industrial accident,forging records,living wage,PII exposure,clean air violation,supplier bankruptcy,patent infringement,market volatility
data leak,impairment charge,import standards violation,service interruption,corporate image damage,succession risk,personal injury,unethical practices,supply chain labor abuse,biometric data misuse,EPA violation,supply chain visibility,intellectual property dispute,investment loss
data loss,goodwill impairment,product withdrawal,operational failure,loss of public trust,loss of institutional knowledge,fatality,regulatory investigation,prison labor,health data breach,environmental penalty,upstream risk,mass tort,loan default
confidential data,write-down,adverse drug reaction,facility failure,stakeholder trust erosion,talent acquisition failure,health and safety violation,regulatory scrutiny,bonded labor,financial data exposure,environmental cleanup,downstream risk,legal proceeding,settlement risk
information security,write-off,drug efficacy failure,infrastructure failure,brand loyalty erosion,human capital risk,OSHA violation,government investigation,labor abuse,,contamination,procurement failure,regulatory lawsuit,counterparty risk
security breach,asset impairment,recall cost,telecommunication failure,customer satisfaction decline,staff attrition,unsafe working conditions,regulatory penalty,sweatshop,,Superfund liability,single-source dependency,indemnification obligation,concentration of credit risk
system compromise,material weakness,warranty claim,business continuity failure,market share loss,inability to attract talent,worker injury,regulatory fine,labor law violation,,carbon emissions,supplier concentration,antitrust investigation,credit rating downgrade
hacking,going concern,product performance failure,disaster recovery failure,competitive disadvantage,workforce risk,,enforcement action,labor conditions,,greenhouse gas violation,partner bankruptcy,competition law violation,bond default
